id,revenue,expenses,growth_rate,customer_count,profit_margin
1,1112538,860638.2804521775,31.6,4581,24.7
2,4002672,2835258.3945215647,12.0,2400,7.6
3,639877,592386.914117298,23.2,3169,9.0
4,2305210,1756184.5175554464,17.3,1192,22.9
5,3071015,2797998.617238878,16.7,3497,14.1
6,638128,568016.8553765479,39.1,2108,9.0
7,1713709,1220317.4957979328,10.0,3529,11.4
8,4956620,3976994.3051701677,21.0,3477,18.3
9,3279767,2691583.528162079,11.6,4101,14.6
10,2832724,2097086.1835648671,5.7,999,10.4
11,2725743,2250589.457446751,25.7,1404,8.8
12,4072356,2861497.8571248692,24.7,4560,15.3
13,746484,600396.7300760474,20.7,2061,10.3
14,2815186,2048495.013472191,39.1,4517,13.7
15,3399292,2820470.8382605864,36.0,3688,15.2
16,2129512,1579224.1909642646,23.7,404,11.1
17,280398,214509.67491519093,34.7,4160,18.9
18,4939003,4253664.826172023,35.6,270,15.6
19,4489550,3229933.2445255835,15.6,1915,15.1
20,836144,708057.6770549417,34.1,268,6.4
